Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2025-08-10,,Dinner,"Goat Cheese, Soft",25.00 g,66.0,0.0,0.0,2.5,0.0,15.19,0.02,0.1,0.11,0.17,0.06,0.05,3.0,71.88,0.0,3.75,0.05,0.45,35.0,0.18,,0.48,4.0,0.03,64.0,6.5,0.7,114.75,0.23,0.0,0.0,0.0,0.0,0.0,0.0,5.27,11.5,1.2,0.13,3.64,0.18,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.02,0.13,0.19,0.4,0.33,0.12,0.18,4.63,0.17,0.05,0.18,0.32,Dairy and Egg Products
2025-08-10,,Dinner,"Goat Cheese, Hard",13.00 g,58.76,0.0,0.0,1.3,0.0,3.77,0.02,0.15,0.31,0.05,0.01,0.02,0.52,63.13,0.0,3.38,0.04,0.39,116.35,0.08,,0.24,7.02,0.03,94.77,6.24,0.72,54.99,0.21,0.28,0.0,0.0,0.0,0.0,0.28,4.63,13.65,1.06,0.11,3.2,0.16,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.02,0.11,0.16,0.34,0.28,0.11,0.16,3.97,0.15,0.04,0.15,0.27,Dairy and Egg Products
2025-08-10,3:45 PM,Dinner,Extra Virgin Olive Oil,0.00 tbsp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fats and Oils
2025-08-10,2:44 PM,Dinner,"Sweet Potato, Boiled",0.00 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vegetables and Vegetable Products
2025-08-10,5:58 PM,Dinner,"Cabbage, Red, Raw",100.00 g,30.0,0.0,0.0,4.3,9.37,91.14,0.06,0.07,0.42,0.15,0.18,0.0,18.0,55.83,53.9,0.0,0.07,32.3,31.0,0.0,,0.0,13.0,0.31,36.0,269.0,0.6,12.0,0.25,6.79,2.1,2.1,0.0,0.0,3.83,0.21,0.0,0.02,0.11,0.03,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.05,0.05,0.01,0.04,1.24,0.04,0.01,0.02,0.05,Vegetables and Vegetable Products
2025-08-10,5:58 PM,Dinner,Miso Paste,1.00 tsp,11.34,0.0,0.0,0.81,17.08,2.46,0.01,0.01,0.05,0.02,0.01,0.0,1.09,0.25,0.0,0.0,0.0,1.68,3.27,0.02,,0.14,2.75,0.05,9.11,12.03,0.4,213.59,0.15,1.45,0.31,0.27,0.04,0.85,0.36,0.34,0.0,0.06,0.17,0.06,0.0,0.02,0.02,0.0,0.0,0.14,0.0,0.14,0.0,0.01,0.03,0.05,0.03,0.01,0.03,0.73,0.03,0.01,0.02,0.03,Spices and Herbs
2025-08-10,5:58 PM,Dinner,"Obento, Rice Wine Vinegar",10.00 g,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.06,,,,,0.06,0.01,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,Spices and Herbs
2025-08-10,5:58 PM,Dinner,"Organic Traditions, Black Sesame Seeds",2.00 g,11.85,,,,,,,,,,,,,0.0,0.0,,,,22.22,,,0.27,,,,,,0.0,,0.37,0.22,,,,0.0,0.96,0.0,,,0.15,0.0,,,,,,,,,,,,,,,0.37,,,,,Nut and Seed Products
2025-08-10,5:59 PM,Dinner,"Courgette, Cooked from Fresh",100.00 g,15.0,0.0,0.0,0.7,7.05,95.22,0.04,0.02,0.51,0.29,0.08,0.0,28.0,55.83,12.9,0.0,0.12,4.2,18.0,0.05,0.4,0.37,19.0,0.17,37.0,264.0,0.2,3.0,0.33,2.69,1.0,0.86,0.14,0.0,1.71,0.36,0.0,0.03,0.15,0.07,0.0,0.09,0.09,0.0,0.0,0.06,0.0,0.06,0.01,0.01,0.02,0.04,0.04,0.01,0.02,1.14,0.02,0.01,0.02,0.03,Vegetables and Vegetable Products
2025-08-10,5:59 PM,Dinner,carrot & celeriac purée,0.50 full recipe,14.7,0.0,0.0,5.11,1.89,45.83,0.02,0.02,0.25,0.11,0.06,0.0,3.15,127.75,1.8,0.0,0.28,16.41,13.6,0.02,0.09,0.2,5.7,0.06,27.6,95.8,0.25,30.05,0.1,3.3,0.87,0.74,0.13,0.34,1.77,0.09,0.0,0.01,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.45,0.03,0.01,0.01,0.02,
2025-08-10,6:07 PM,Dinner,Stir fry 100825,1.00 Serving,31.05,0.0,0.0,22.51,20.27,136.91,0.13,0.14,1.13,0.29,0.2,0.0,115.26,167.07,26.2,0.0,0.8,57.37,113.5,0.14,0.58,1.42,37.27,0.42,60.26,380.07,2.79,137.36,0.52,5.4,2.3,1.75,0.41,1.08,1.88,0.42,0.0,0.05,0.18,0.07,0.0,0.06,0.04,0.0,0.02,0.06,0.0,0.06,0.03,0.05,0.13,0.19,0.15,0.03,0.1,3.11,0.11,0.03,0.08,0.15,
2025-08-10,2:56 PM,Dinner,Walnuts,18.00 g,122.22,0.0,0.0,13.32,120.6,0.57,0.04,0.03,0.22,0.1,0.12,0.0,17.64,0.18,0.23,0.0,0.13,0.31,15.84,0.22,,0.4,25.56,0.54,65.7,76.32,0.88,0.0,0.5,1.96,0.94,0.67,0.27,0.01,0.47,12.55,0.0,1.73,8.88,1.09,0.0,1.71,1.71,0.0,0.0,7.17,0.0,7.17,0.04,0.06,0.09,0.18,0.07,0.03,0.11,2.62,0.08,0.02,0.08,0.11,Nut and Seed Products
2025-08-10,11:20 AM,Breakfast,"Brocoli, cuit à partir de frais",200.00 g,70.0,0.0,0.0,8.8,35.26,178.5,0.13,0.25,1.11,1.23,0.4,0.0,216.0,154.83,129.8,0.0,4.04,282.0,80.0,0.12,1.0,1.34,42.0,0.39,134.0,586.0,3.2,82.0,0.9,14.36,6.6,5.9,0.7,0.0,2.78,0.82,0.0,0.08,0.34,0.16,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.18,0.29,0.31,0.09,0.23,4.76,0.19,0.07,0.12,0.28,Vegetables and Vegetable Products
2025-08-10,2:44 PM,Lunch,"Sweet Potato, Boiled",60.00 g,45.6,0.0,0.0,34.86,1.92,48.08,0.03,0.03,0.32,0.35,0.1,0.0,3.6,472.2,7.68,0.0,0.56,1.26,16.2,0.06,,0.43,10.8,0.16,19.2,138.0,0.12,16.2,0.12,10.63,1.5,1.1,0.4,3.13,3.44,0.08,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.05,0.03,0.02,0.05,0.82,0.04,0.02,0.02,0.05,Vegetables and Vegetable Products
2025-08-10,11:19 AM,Breakfast,Natto,45.00 g,94.95,0.0,0.0,25.2,60.75,24.76,0.07,0.09,0.0,0.1,0.06,0.0,3.6,0.0,5.85,0.0,0.0,10.4,97.65,0.3,,3.87,51.75,0.69,78.3,328.05,3.96,3.15,1.36,5.71,2.43,1.6,0.83,2.07,2.2,4.95,0.0,1.09,2.79,0.72,0.0,0.33,0.33,0.0,0.0,2.43,0.0,2.43,0.1,0.23,0.42,0.68,0.52,0.09,0.42,8.73,0.37,0.1,0.25,0.46,Legumes and Legume Products
2025-08-10,11:20 AM,Breakfast,"Egg, Raw",27.50 g,42.63,0.0,0.0,0.0,0.0,20.52,0.02,0.14,0.02,0.38,0.03,0.31,12.1,41.07,0.0,23.93,0.28,0.08,13.75,0.0,13.53,0.33,2.75,0.01,47.3,34.65,8.47,34.1,0.29,0.31,0.0,0.0,0.0,0.0,0.31,2.92,102.58,1.12,0.39,0.9,0.0,0.02,0.01,0.01,0.0,0.36,0.04,0.32,0.08,0.08,0.19,0.3,0.25,0.11,0.18,3.46,0.17,0.04,0.14,0.21,Dairy and Egg Products
2025-08-10,,Smoothie,Truvani- Plant Protein Unflavored- GH,1.50 Serving,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,,0.0,1.5,,,,,3.0,,,,0.0,0.0,,,,,,,,,,,1.8,,,,30.0,,,,,
2025-08-10,,Smoothie,"Cocoa Via, Cardio Health, Cocoa Flavanols, Dark Chocolate",1.00 scoop,10.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,Supplements
2025-08-10,,Smoothie,Nutricost L-Leucine 4 Tablets Serving -GH,0.50 Serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2025-08-10,,Smoothie,Organic Whey Company- GH,0.65 Serving,64.35,,,,,,,,,,,0.33,,,,,,,103.35,,,,,,58.5,,,19.5,,1.37,0.91,,,,0.65,0.65,26.0,,,0.52,,,,,,,,,0.08,0.2,0.64,1.29,1.0,0.27,0.35,12.74,0.92,0.2,0.34,0.6,
2025-08-10,,Smoothie,"UCan, 100% Pure SpuerStarch, Unflavored",0.80 scoop,72.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,12.0,,17.6,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,Supplements
2025-08-10,,Breakfast,Truvani- Plant Protein Unflavored- GH,0.50 Serving,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,0.0,0.5,,,,,1.0,,,,0.0,0.0,,,,,,,,,,,0.6,,,,10.0,,,,,
2025-08-10,,Breakfast,Organic Whey Company- GH,0.30 Serving,29.7,,,,,,,,,,,0.15,,,,,,,47.7,,,,,,27.0,,,9.0,,0.63,0.42,,,,0.3,0.3,12.0,,,0.24,,,,,,,,,0.04,0.09,0.3,0.6,0.46,0.13,0.16,5.88,0.43,0.09,0.16,0.28,
2025-08-10,,Breakfast,Organic Native Casein Protein_Custom_GH,0.50 Serving,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,,,,0.6,0.15,,,,0.05,,,,,,,,,,,,,,,,6.0,,,,,
2025-08-10,,Breakfast,Sourdough Bread,42.00 g,114.24,0.0,0.0,10.02,13.84,13.86,0.3,0.18,2.02,0.19,0.04,0.0,71.4,0.0,0.0,0.0,0.09,0.29,21.84,0.06,,1.64,13.44,0.24,44.1,49.14,12.01,252.84,0.44,21.79,0.92,0.68,0.24,18.58,1.94,1.02,0.0,0.15,0.36,0.22,0.0,0.03,0.03,0.0,0.0,0.33,0.0,0.33,0.1,0.09,0.16,0.29,0.12,0.06,0.21,4.52,0.12,0.05,0.08,0.18,Baked Products
2025-08-10,,Smoothie,Honey,4.00 tsp,85.88,0.0,0.0,0.08,0.0,4.83,0.0,0.01,0.03,0.02,0.01,0.0,0.57,0.0,0.14,0.0,0.0,0.0,1.7,0.01,,0.12,0.57,0.02,1.13,14.69,0.23,1.13,0.06,23.28,0.06,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,Sweets
2025-08-10,,Breakfast,"Blueberries, Cooked, Unsweetened",10.00 g,3.82,0.0,0.0,0.19,0.2,8.94,0.0,0.0,0.03,0.01,0.0,0.0,0.4,0.18,0.54,0.0,0.04,1.29,0.87,0.0,,0.02,0.42,0.03,0.87,5.76,0.01,0.02,0.01,0.98,0.16,0.15,0.02,0.0,0.67,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,Fruits and Fruit Juices
2025-08-10,,Breakfast,Sourdough Bread,35.00 g,95.2,0.0,0.0,8.35,11.53,11.55,0.25,0.15,1.69,0.16,0.04,0.0,59.5,0.0,0.0,0.0,0.07,0.24,18.2,0.05,,1.37,11.2,0.2,36.75,40.95,10.01,210.7,0.36,18.16,0.77,0.57,0.2,15.48,1.62,0.85,0.0,0.13,0.3,0.19,0.0,0.02,0.02,0.0,0.0,0.28,0.0,0.28,0.08,0.07,0.13,0.24,0.1,0.05,0.17,3.76,0.1,0.04,0.07,0.15,Baked Products
2025-08-10,,Breakfast,"Waffles, Plain or Buttermilk, Homemade, with Chocolate Chips",28.00 g,96.58,0.0,2.44,5.7,40.21,16.27,0.09,0.08,0.61,0.14,0.02,0.12,19.44,13.37,0.01,10.4,0.57,1.42,59.34,0.04,,0.71,9.07,0.1,48.64,52.85,3.04,116.31,0.22,10.39,0.49,0.35,0.14,6.56,3.32,5.45,13.9,1.89,0.74,2.57,0.05,0.05,0.05,0.0,0.0,0.69,0.01,0.68,0.03,0.05,0.09,0.16,0.1,0.04,0.1,2.0,0.08,0.03,0.08,0.1,Baked Products
2025-08-10,,Breakfast,"Cake Donut, Glazed Plain",6.00 g,22.99,0.02,0.0,0.78,4.82,1.01,0.02,0.01,0.12,0.02,0.01,0.03,3.64,3.06,0.0,0.65,0.13,0.42,3.77,0.0,,0.11,0.61,0.01,4.13,4.09,0.42,9.21,0.02,2.91,0.05,0.03,0.03,1.27,1.57,1.16,1.61,0.28,0.14,0.66,0.01,0.01,0.01,0.0,0.0,0.12,0.0,0.12,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.26,0.01,0.0,0.01,0.01,Baked Products
2025-08-10,,Breakfast,"Milk, Whole",0.30 cup,43.92,0.0,0.0,0.15,0.0,64.49,0.04,0.1,0.08,0.26,0.04,0.4,0.0,23.12,0.0,28.11,0.04,0.22,90.04,0.0,25.11,0.0,8.78,0.0,73.93,109.8,1.39,27.82,0.31,3.39,0.0,0.0,0.0,0.0,3.39,2.34,8.78,0.5,0.08,1.36,0.08,0.01,0.01,0.0,0.0,0.07,0.0,0.06,0.01,0.07,0.13,0.24,0.22,0.07,0.12,2.39,0.11,0.03,0.12,0.15,Dairy and Egg Products
2025-08-10,11:18 AM,Breakfast,Extra Virgin Olive Oil,0.30 tbsp,35.8,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.44,0.04,0.0,,0.02,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,2.95,0.43,0.56,0.01,0.03,0.03,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fats and Oils
2025-08-10,11:19 AM,Breakfast,"Buckwheat Groats, Roasted, Cooked",0.00 g,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cereal Grains and Pasta
2025-08-10,11:19 AM,Breakfast,"Sweet Potato, Boiled",0.00 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vegetables and Vegetable Products
2025-08-10,,Breakfast,"Egg, Whole, Cooked, Scrambled",20.00 g,29.8,,,,,15.28,0.01,0.08,0.02,0.24,0.03,0.15,7.2,32.2,,14.4,0.23,0.8,13.2,0.01,8.52,0.26,2.2,0.0,33.0,26.4,4.7,29.0,0.21,0.32,,,,,0.28,2.2,55.4,0.89,0.49,0.67,0.12,0.04,,0.01,,0.42,,,0.04,0.05,0.11,0.17,0.14,0.06,0.11,2.0,0.09,0.03,0.08,0.14,Dairy and Egg Products
2025-08-10,11:19 AM,Breakfast,"Rice, White, Long-Grain, Regular, Enriched, Cooked",45.00 g,58.5,0.0,0.0,1.08,20.17,30.8,0.07,0.01,0.66,0.18,0.04,0.0,19.26,0.0,0.0,0.0,0.02,0.0,4.5,0.03,,0.54,5.4,0.21,19.35,15.75,3.38,0.45,0.22,12.68,0.15,0.15,0.0,10.35,0.01,0.13,0.0,0.04,0.03,0.03,0.0,0.01,0.01,0.0,0.0,0.03,0.0,0.03,0.02,0.03,0.05,0.1,0.04,0.03,0.06,1.21,0.04,0.01,0.04,0.07,Cereal Grains and Pasta
2025-08-11,3:31 PM,Lunch,Extra Virgin Olive Oil,0.40 tbsp,47.74,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,3.25,0.05,0.0,,0.03,0.0,0.0,0.0,0.05,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,3.94,0.57,0.75,0.01,0.04,0.04,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fats and Oils
2025-08-11,11:53 AM,Breakfast,Crab & yoghurt sauce,0.10 full recipe,5.0,0.0,0.0,0.08,1.49,4.72,0.0,0.01,0.12,0.05,0.01,0.14,2.26,0.69,0.33,0.36,0.07,0.16,5.51,0.03,,0.03,1.89,0.01,11.31,14.15,1.78,35.16,0.17,0.24,0.03,0.02,0.01,0.07,0.11,0.07,3.95,0.01,0.03,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.02,0.04,0.06,0.06,0.02,0.03,0.83,0.03,0.01,0.03,0.04,
2025-08-11,11:49 AM,Breakfast,chili miso sauce,20.00 g,6.68,0.0,0.0,1.14,5.47,18.0,0.01,0.01,0.11,0.01,0.03,0.0,2.48,5.4,23.18,0.0,0.08,1.89,2.75,0.02,,0.16,3.41,0.04,6.91,40.54,0.13,41.14,0.06,1.34,0.23,0.16,0.07,0.16,0.54,0.09,0.0,0.01,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.36,0.01,0.0,0.01,0.01,
2025-08-11,11:38 AM,Breakfast,"Eel, Cooked",65.00 g,153.4,0.0,0.0,0.09,0.0,38.55,0.12,0.03,2.92,0.18,0.05,1.88,11.05,739.05,1.17,273.52,3.33,0.47,16.9,0.02,,0.42,16.9,0.03,180.05,226.85,5.4,42.25,1.35,0.0,0.0,0.0,0.0,0.0,0.0,9.72,104.65,5.99,0.79,1.96,0.0,0.38,0.19,0.05,0.07,0.24,0.08,0.16,0.16,0.45,0.71,1.25,1.41,0.45,0.6,15.37,0.67,0.17,0.52,0.79,Finfish and Shellfish Products
2025-08-11,11:38 AM,Breakfast,"Sablefish, Cooked",63.00 g,157.5,0.0,0.0,0.09,0.0,39.6,0.08,0.07,3.23,0.54,0.22,0.91,10.71,64.26,0.0,118.19,2.74,0.46,28.35,0.02,,1.03,44.73,0.01,135.45,289.17,29.48,45.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0,12.36,39.69,6.51,1.65,2.58,0.0,1.43,0.08,0.58,0.55,0.21,0.08,0.13,0.12,0.32,0.5,0.88,0.99,0.32,0.42,10.83,0.48,0.12,0.37,0.56,Finfish and Shellfish Products
2025-08-11,11:37 AM,Breakfast,"Cabbage, Raw",40.00 g,11.2,0.0,0.0,1.72,3.44,36.75,0.02,0.02,0.09,0.08,0.06,0.0,17.2,1.95,16.12,0.0,0.06,23.76,16.8,0.0,0.16,0.03,5.6,0.1,10.8,82.8,0.12,6.4,0.08,2.55,0.9,0.72,0.18,0.0,1.28,0.09,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.38,0.01,0.0,0.01,0.02,Vegetables and Vegetable Products
2025-08-11,11:37 AM,Breakfast,"Obento, Rice Wine Vinegar",3.00 g,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,0.02,,,,,0.02,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,Spices and Herbs
2025-08-11,11:37 AM,Breakfast,Miso Paste,2.00 g,3.96,0.0,0.0,0.28,5.96,0.86,0.0,0.0,0.02,0.01,0.0,0.0,0.38,0.09,0.0,0.0,0.0,0.59,1.14,0.01,,0.05,0.96,0.02,3.18,4.2,0.14,74.56,0.05,0.51,0.11,0.09,0.01,0.3,0.12,0.12,0.0,0.02,0.06,0.02,0.0,0.01,0.01,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.01,0.02,0.01,0.0,0.01,0.26,0.01,0.0,0.01,0.01,Spices and Herbs
2025-08-11,,Lunch,Truvani- Plant Protein Unflavored- GH,0.50 Serving,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,0.0,0.5,,,,,1.0,,,,0.0,0.0,,,,,,,,,,,0.6,,,,10.0,,,,,
2025-08-11,11:37 AM,Breakfast,jasper bread,2.00 Serving,345.9,0.0,0.0,37.94,227.31,62.66,0.41,0.05,1.96,0.57,0.1,0.0,50.08,0.0,0.0,0.0,0.06,0.28,21.22,0.2,,1.12,34.45,0.76,131.67,150.37,18.67,3.0,1.16,69.44,3.1,1.39,1.75,66.07,0.25,1.66,0.0,0.19,0.66,0.26,0.0,0.04,0.04,0.0,0.0,0.63,0.0,0.63,0.24,0.26,0.41,0.8,0.29,0.2,0.58,11.59,0.33,0.14,0.35,0.47,
2025-08-11,11:37 AM,Breakfast,"Potatoes, Baked, Flesh and Skin, Without Salt",150.00 g,139.5,0.0,0.0,44.66,69.0,112.34,0.1,0.07,2.11,0.56,0.47,0.0,42.0,0.75,14.4,0.0,0.06,3.0,22.5,0.18,1.5,1.62,42.0,0.33,105.0,802.5,0.6,15.0,0.54,31.72,3.3,2.43,0.87,25.9,1.77,0.2,0.0,0.0,0.09,0.05,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.12,0.18,0.2,0.06,0.15,3.75,0.12,0.04,0.09,0.19,Vegetables and Vegetable Products
2025-08-11,,Lunch,Natto,45.00 g,94.95,0.0,0.0,25.2,60.75,24.76,0.07,0.09,0.0,0.1,0.06,0.0,3.6,0.0,5.85,0.0,0.0,10.4,97.65,0.3,,3.87,51.75,0.69,78.3,328.05,3.96,3.15,1.36,5.71,2.43,1.6,0.83,2.07,2.2,4.95,0.0,1.09,2.79,0.72,0.0,0.33,0.33,0.0,0.0,2.43,0.0,2.43,0.1,0.23,0.42,0.68,0.52,0.09,0.42,8.73,0.37,0.1,0.25,0.46,Legumes and Legume Products
2025-08-11,3:32 PM,Lunch,Butternut Squash,75.00 g,30.0,0.0,0.0,0.68,16.5,65.85,0.05,0.01,0.73,0.27,0.09,0.0,14.25,418.31,11.33,0.0,0.97,0.75,30.75,0.05,,0.45,21.75,0.13,20.25,213.0,0.38,3.0,0.1,7.87,2.4,2.02,0.5,2.0,1.48,0.07,0.0,0.01,0.03,0.01,0.0,0.02,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.03,0.04,0.02,0.01,0.03,0.68,0.02,0.01,0.02,0.03,Vegetables and Vegetable Products
2025-08-11,,Lunch,"Black Beans, Canned, Drained",100.00 g,140.0,0.0,0.0,57.0,210.0,63.81,0.24,0.07,0.65,0.27,0.14,0.0,140.0,0.0,0.9,0.0,0.01,0.6,69.0,0.21,1.0,2.36,53.0,0.53,144.0,389.0,2.9,385.0,1.03,26.05,10.5,9.82,0.68,15.4,0.37,0.62,0.0,0.14,0.49,0.1,0.0,0.18,0.18,0.0,0.0,0.14,0.0,0.14,0.08,0.21,0.39,0.7,0.52,0.11,0.47,8.23,0.29,0.1,0.2,0.5,Legumes and Legume Products
2025-08-11,,Lunch,Organic Whey Company- GH,0.29 Serving,28.71,,,,,,,,,,,0.15,,,,,,,46.11,,,,,,26.1,,,8.7,,0.61,0.41,,,,0.29,0.29,11.6,,,0.23,,,,,,,,,0.03,0.09,0.29,0.58,0.45,0.12,0.16,5.68,0.41,0.09,0.15,0.27,
2025-08-11,,Lunch,"Rice, White, Long-Grain, Regular, Enriched, Cooked",28.00 g,36.4,0.0,0.0,0.67,12.55,19.16,0.05,0.0,0.41,0.11,0.03,0.0,11.98,0.0,0.0,0.0,0.01,0.0,2.8,0.02,,0.34,3.36,0.13,12.04,9.8,2.1,0.28,0.14,7.89,0.1,0.1,0.0,6.44,0.01,0.08,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.03,0.06,0.03,0.02,0.04,0.75,0.03,0.01,0.03,0.05,Cereal Grains and Pasta
2025-08-11,3:31 PM,Lunch,Walnuts,2.00 g,13.58,0.0,0.0,1.48,13.4,0.06,0.0,0.0,0.02,0.01,0.01,0.0,1.96,0.02,0.03,0.0,0.01,0.03,1.76,0.02,,0.04,2.84,0.06,7.3,8.48,0.1,0.0,0.06,0.22,0.1,0.07,0.03,0.0,0.05,1.39,0.0,0.19,0.99,0.12,0.0,0.19,0.19,0.0,0.0,0.8,0.0,0.8,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.29,0.01,0.0,0.01,0.01,Nut and Seed Products
2025-08-11,3:31 PM,Lunch,"Quinoa, Cooked",10.00 g,12.0,,,,,7.16,0.01,0.01,0.04,,0.01,,4.2,0.15,,,0.06,,1.7,0.02,,0.15,6.4,0.06,15.2,17.2,0.28,0.7,0.11,2.13,0.28,,,1.76,0.09,0.19,,0.05,0.11,0.02,,0.01,,0.0,,0.1,,,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.44,0.01,0.01,0.01,0.02,Cereal Grains and Pasta
